id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
6pE6WjaGLjkatxCY7ie3x3,Red Hot Blues,4,['blues band'],170,blues band,,,,,NA,NA
1pFgLnwVfIZh0Qztd0LYqY,Gentle Hen,4,['western mass indie'],378,western mass indie,,,,,NA,NA
27kz8ieduFE45c5rdyHcxj,Colin Grant,5,['canadian celtic'],540,canadian celtic,,,,,NA,NA
75AqhRq4n2mgow58AcHe5m,DAYNE OTB,5,['oc rap'],562,oc rap,,,,,NA,NA
2Acjtki9xGNwsweZVFx6Ed,Turned Around,5,['future bounce'],557,future bounce,,,,,NA,NA
01j1tgusZmVecaU1DEiCm3,Elkhorn,5,"['american primitive', 'pastoral', 'psychedelic space rock']",2010,american primitive,pastoral,psychedelic space rock,,,NA,NA
3zyLtDE21BNWJagUl4HWzu,Pinkish Blu,6,['adelaide indie'],1951,adelaide indie,,,,,NA,NA
1DmVFcr4tL6md0PI5kQXeQ,The Amalgamates,6,['college a cappella'],873,college a cappella,,,,,NA,NA
34u51KUR8vtXeHTAy1HbFe,Ajeezay,6,['afro drill'],112,afro drill,,,,,NA,NA
6tLJIJTUJ6Lw39JYAJF8rh,Red Hot 'n' Blue,6,"['neo-rockabilly', 'uk rockabilly']",1638,neo-rockabilly,uk rockabilly,,,,NA,NA
73RmVTPm4JCwKXXZz2V7yW,G-laspada,7,['r&b italiano'],281,r&b italiano,,,,,NA,NA
7fHq8IdkLznqRvSblfspaY,The Californicators,7,['tribute'],2354,tribute,,,,,NA,NA
6jVNUhgWoitJUJLW4z3uXn,Boozoo Chavis and the Magic Sounds,7,"['swamp pop', 'zydeco']",661,swamp pop,zydeco,,,,NA,NA
70xVEpgMP5GXlfPHRRP7yI,Victoria Vox,8,"['oc indie', 'ukulele']",1358,oc indie,ukulele,,,,NA,NA
3nBrzaslVeGq206xtZc9T7,Dudley Simpson,8,"['hauntology', 'theme']",718,hauntology,theme,,,,NA,NA
3LBXtcf7iF5hyveaDJolc6,The Hedgerow Folk,8,['christian indie'],1104,christian indie,,,,,NA,NA
3gdrmfWscdd6Wryv01umtl,Wild Side,9,['canadian hardcore'],3108,canadian hardcore,,,,,NA,NA
3lbwPBln41G2m3d93rxA3T,Chubby Carrier,9,"['swamp pop', 'zydeco']",2270,swamp pop,zydeco,,,,NA,NA
56CJNGsRT9pO48GtRlxla2,Sandy Dish,9,['melbourne punk'],746,melbourne punk,,,,,NA,NA
5AXPdt3zknCylvlnEi0JFO,Emptiness,9,"['belgian black metal', 'voidgaze']",5449,belgian black metal,voidgaze,,,,NA,NA
5cuchPK6eJYdjYLNiiRk29,Symphony in Peril,9,['christian hardcore'],5290,christian hardcore,,,,,NA,NA
4CO7qgV1BusQBS6uyi06Ff,John Eddie,10,['heartland rock'],1985,heartland rock,,,,,NA,NA
1u3p7gbSruazLLj9ibDQ6X,The Wholls,10,['modern alternative rock'],4106,modern alternative rock,,,,,NA,NA
5qGFrApDaIkbuaZiikcipl,Stressor,10,"['deep psychobilly', 'psychobilly']",2504,deep psychobilly,psychobilly,,,,NA,NA
5S3gRXHi1WrUadDR9IUwTN,The Red Krayola,10,"['experimental rock', 'outsider']",7244,experimental rock,outsider,,,,NA,NA
1dSmNTC4h28UW5uiEIEVQl,Whoopee John,10,['polka'],488,polka,,,,,NA,NA
6329ULqnLbRWcDIPaVPEmM,The Whole Thing,11,['acid jazz'],569,acid jazz,,,,,NA,NA
49df9GxS8cxjmN8fBZatuE,Blue Fringe,11,['judaica'],3665,judaica,,,,,NA,NA
18p7UHafQD6tWVcAOfoW5F,Keff McCulloch,11,['british soundtrack'],258,british soundtrack,,,,,NA,NA
6wok7L7GfBNS0nOltwmopD,The Great Honourable Lord Pretender,11,['calypso'],648,calypso,,,,,NA,NA
0Wtw3fqrmqjQ5akqbrS6P5,Dear Whoever,11,['screamocore'],7184,screamocore,,,,,NA,NA
5lKonzRKCeaS0eU5vdziO1,The Whole Darn Family,12,['rare groove'],1726,rare groove,,,,,NA,NA
3ARyhbeNWaIZTGRTDZ8IG1,Sybarite5,12,['cello'],1243,cello,,,,,NA,NA
0wNomLWF4Yg4XN2hHlP3Cz,The Whoops,13,['japanese alternative rock'],5652,japanese alternative rock,,,,,NA,NA
4EiPFgA46SMqLtTSH2xopt,Red Hot Max,13,['swedish rockabilly'],1839,swedish rockabilly,,,,,NA,NA
2bTEeKchSSupVDeN8VHe16,The Whoridas,14,['g funk'],4166,g funk,,,,,NA,NA
6U7okwARNlqMsPEvrtcNO6,Among The Thirsty,14,['german ccm'],4771,german ccm,,,,,NA,NA
5V6tFhR6bo0AfvklxzQcqI,And Then There Were None,14,"['christian dance', 'dance rock', 'electropowerpop']",4402,christian dance,dance rock,electropowerpop,,,NA,NA
4vQgTCKK2OymTe2D8akBlg,Tristram Cary,14,"['acousmatic', 'british soundtrack', 'electroacoustic composition', 'hauntology', 'theme']",1023,acousmatic,british soundtrack,electroacoustic composition,hauntology,theme,NA,NA
2To4jNx23pDgZJbZx9ynyJ,Johnny Maddox,14,['honky-tonk piano'],956,honky-tonk piano,,,,,NA,NA
0i9t3ZUyYFXd1nZLJ1sRqb,Queen Chimera,14,['riot grrrl'],10203,riot grrrl,,,,,NA,NA
5UhKMxkXUPTSFKUrVbAMdj,Peter Howell,15,"['british soundtrack', 'hauntology', 'theme']",1178,british soundtrack,hauntology,theme,,,NA,NA
4pD0TDma5JQSsb8aVN4Orb,The Redneck Manifesto,15,"['instrumental math rock', 'instrumental rock', 'irish indie rock', 'math rock']",11617,instrumental math rock,instrumental rock,irish indie rock,math rock,,NA,NA
0gdggS1jCNKXzFbUcOsotf,Nikki Sudden,15,['solo wave'],5791,solo wave,,,,,NA,NA
474vK8QpU3WL9RxRCmo5cX,Kjetil Mulelid Trio,16,['norwegian jazz'],1268,norwegian jazz,,,,,NA,NA
4ONXEk7kAwoXUJUatvIpLU,The Pilgrim Jubilees,16,['contemporary gospel'],8676,contemporary gospel,,,,,NA,NA
07mlkNoHj4X0n11DmGBptw,"Billy ""The Kid"" Emerson",16,['rhythm and blues'],1995,rhythm and blues,,,,,NA,NA
6Si6obxYS5yBJrdpZieVf3,Jerry Joseph,16,['western americana'],4638,western americana,,,,,NA,NA
5GmEuYwdFxc1bdl8Id3m7e,Lalu,16,"['deep progressive rock', 'french metal', 'melodic progressive metal', 'neo-progressive', 'progressive metal']",2526,deep progressive rock,french metal,melodic progressive metal,neo-progressive,progressive metal,NA,NA
6Uhcb4YBtQmZJKL3jBpPX4,Deke Dickerson,17,"['neo-rockabilly', 'rockabilly']",7300,neo-rockabilly,rockabilly,,,,NA,NA
5sAdGAVelzrPddqEqfNRDm,Razorrape,17,"['goregrind', 'necrogrind', 'pornogrind']",8024,goregrind,necrogrind,pornogrind,,,NA,NA
5tJ7jELYPd8ZRIp6dbHS7I,Karmakanic,17,"['neo-progressive', 'progressive metal', 'progressive rock', 'swedish prog', 'symphonic rock']",11898,neo-progressive,progressive metal,progressive rock,swedish prog,symphonic rock,NA,NA
42YCCI0lmBcMB7s5gmXVDF,Orlando Consort,17,"['choral', 'early music choir', 'early music ensemble', 'renaissance', 'vocal ensemble']",4327,choral,early music choir,early music ensemble,renaissance,vocal ensemble,NA,NA
0jZNuKQjHZqSJolXzi8kDV,Paint The Sky Red,17,"['instrumental post-rock', 'singaporean indie', 'southeast asian post-rock']",7930,instrumental post-rock,singaporean indie,southeast asian post-rock,,,NA,NA
6YVY310fjfUzKi8hiqR7iK,Gangway,18,"['danish pop rock', 'sophisti-pop']",3681,danish pop rock,sophisti-pop,,,,NA,NA
7pngx7BrbiM6QFuaHyw0RY,Juicy Lucy,18,['british blues'],13671,british blues,,,,,NA,NA
71jiZJ6LUwYWXihX80dZD0,The Jazz June,18,"['emo', 'emo punk']",9472,emo,emo punk,,,,NA,NA
6Pe8wvqAWxK6nFhwHjb0GD,Halgrath,18,['dark ambient'],2462,dark ambient,,,,,NA,NA
4r1FGzKdQcTiDDPesf9x7Z,Ascent Project,18,"['anthem worship', 'christian pop', 'pop worship', 'uk worship', 'worship']",5600,anthem worship,christian pop,pop worship,uk worship,worship,NA,NA
0p6NrdHl8dQQALGIqVcrjt,Sophia Eris,18,['minneapolis indie'],4328,minneapolis indie,,,,,NA,NA
0pPxbMpxTtkh15mvvjewGV,P.K.14,18,"['chinese indie rock', 'chinese post-punk', 'southern china indie']",17035,chinese indie rock,chinese post-punk,southern china indie,,,NA,NA
6IWWVFu6hqi1IJ5qwGXJBc,Mystifier,18,"['black death', 'black metal', 'brazilian black metal', 'brazilian death metal', 'metal baiano']",25612,black death,black metal,brazilian black metal,brazilian death metal,metal baiano,NA,NA
62gHwaZEtHenaB124IuOW8,The Whigs,18,"['athens indie', 'nashville indie']",9810,athens indie,nashville indie,,,,NA,NA
3CcqTY5fsD6Bli5ecGhDKz,William S. Burroughs,18,"['beat poetry', 'poetry', 'sound collage']",17785,beat poetry,poetry,sound collage,,,NA,NA
3uicVMR3k5xPb0cD4JsMv1,GS,18,"['christian hip hop', 'christian trap', 'gospel rap']",4449,christian hip hop,christian trap,gospel rap,,,NA,NA
271JnVctej1qIXvWIL8jRB,Morning Glory,18,['crack rock steady'],14621,crack rock steady,,,,,NA,NA
5hmUF4owAsrwthZ4K5k5dy,Monica Rocha,19,['souldies'],3950,souldies,,,,,NA,NA
0MOZUpmwkWLuzLm3pM3ETD,The York Family,19,['family gospel'],1561,family gospel,,,,,NA,NA
0FUbZjWFfOVHZBvpgqqfTL,Chris Barber's Jazz & Blues Band,19,['dixieland'],2733,dixieland,,,,,NA,NA
3Td06I1OWFLWLob20A7cWu,The Whomping Willows,19,['wrock'],17001,wrock,,,,,NA,NA
3OxjjcGD94EPwRZ4ukKeuD,Nikotina,19,"['euskal reggae', 'euskal rock', 'rap euskera']",3511,euskal reggae,euskal rock,rap euskera,,,NA,NA
2X4fqHcy2QZM9MkITcNYYx,Nate Fredrick,19,['midwest americana'],2799,midwest americana,,,,,NA,NA
1wRjJI80Z1xUT2aFdn7aru,GEAVN,20,['cloud rap francais'],1311,cloud rap francais,,,,,NA,NA
